timestamp,datetime,ax,ay,az,gx,gy,gz,label,frame_id
1770475753.5713375,49:13.6,-6.161,7.163,-0.139,0.018,0.0051,0.0336,NONE,1
1770475753.5730565,49:13.6,-6.118,7.099,-0.191,0.02,0.0024,0.0501,NONE,2
1770475753.5746257,49:13.6,-6.154,7.156,-0.22,0.0314,0.0024,0.0685,NONE,3
1770475753.5765738,49:13.6,-6.182,7.168,-0.124,0.0398,0.0056,0.0751,NONE,4
1770475753.5781744,49:13.6,-6.094,7.305,-0.156,0.0438,0.0112,0.0614,NONE,5
1770475753.5803933,49:13.6,-6.135,7.338,-0.108,0.0444,0.0135,0.0286,NONE,6
1770475753.582572,49:13.6,-6.142,7.367,-0.215,0.0416,0.0105,-0.0029,NONE,7
1770475753.5851781,49:13.6,-6.192,7.403,-0.184,0.0344,0.0063,-0.0123,NONE,8
1770475753.587046,49:13.6,-6.192,7.293,-0.136,0.0265,-0.0013,-0.0116,NONE,9
1770475753.5892262,49:13.6,-6.185,7.183,-0.136,0.0306,-0.0177,-0.008,NONE,10
1770475753.591089,49:13.6,-6.156,7.183,-0.074,0.0301,-0.0248,0.0007,NONE,11
1770475753.5921206,49:13.6,-6.199,7.19,-0.108,0.0314,-0.0306,0.0116,NONE,12
1770475753.593546,49:13.6,-6.175,7.228,-0.069,0.0322,-0.0277,0.0175,NONE,13
1770475753.5951877,49:13.6,-6.202,7.238,-0.163,0.0321,-0.0222,0.0177,NONE,14
1770475753.5966513,49:13.6,-6.142,7.264,-0.151,0.031,-0.0115,0.0261,NONE,15
1770475753.5977998,49:13.6,-6.161,7.247,-0.108,0.0333,-0.0071,0.0285,NONE,16
1770475753.6003666,49:13.6,-6.144,7.25,-0.132,0.0252,-0.0048,0.0322,NONE,17
1770475753.6028168,49:13.6,-6.163,7.233,-0.187,0.0274,0.0012,0.0418,NONE,18
1770475753.6043043,49:13.6,-6.135,7.297,-0.187,0.0273,0.0001,0.0466,NONE,19
1770475753.6057224,49:13.6,-6.115,7.235,-0.136,0.0244,0.0012,0.0449,NONE,20
1770475753.6129496,49:13.6,-6.089,7.24,-0.17,0.0314,0.0064,0.036,NONE,21
1770475753.6186314,49:13.6,-6.068,7.209,-0.172,0.0308,0.0081,0.0232,NONE,22
1770475753.6256106,49:13.6,-6.092,7.247,-0.16,0.037,0.0056,0.0332,NONE,23
1770475753.6325507,49:13.6,-6.082,7.266,-0.112,0.043,0.0053,0.0426,NONE,24
1770475753.6404245,49:13.6,-6.089,7.34,-0.175,0.0456,0.0052,0.0342,NONE,25
1770475753.646801,49:13.6,-6.084,7.4,-0.23,0.038,0.0124,0.0156,NONE,26
1770475753.6538694,49:13.7,-6.19,7.429,-0.28,0.0369,0.0113,-0.0023,NONE,27
1770475753.6612933,49:13.7,-6.24,7.343,-0.227,0.026,0.0124,-0.0025,NONE,28
1770475753.6677568,49:13.7,-6.173,7.309,-0.328,0.0175,0.0027,0.0183,NONE,29
1770475753.6748848,49:13.7,-6.18,7.345,-0.361,0.0184,-0.0063,0.0377,NONE,30
1770475753.6818445,49:13.7,-6.12,7.328,-0.342,0.014,-0.0131,0.0362,NONE,31
1770475753.6888964,49:13.7,-6.036,7.293,-0.318,0.0175,-0.0097,0.0141,NONE,32
1770475753.6960757,49:13.7,-6.008,7.261,-0.211,0.0241,-0.0067,-0.0183,NONE,33
1770475753.7032118,49:13.7,-6.056,7.25,-0.263,0.026,-0.0004,-0.04,NONE,34
1770475753.7099962,49:13.7,-6.056,7.235,-0.285,0.029,-0.01,-0.0364,NONE,35
1770475753.716943,49:13.7,-6.111,7.214,-0.239,0.0322,-0.0187,-0.0135,NONE,36
1770475753.7249198,49:13.7,-6.087,7.247,-0.297,0.0241,-0.0296,0.0124,NONE,37
1770475753.7309008,49:13.7,-6.103,7.202,-0.227,0.0282,-0.0292,0.0265,NONE,38
1770475753.738009,49:13.7,-6.135,7.199,-0.227,0.0292,-0.0284,0.0333,NONE,39
1770475753.7448838,49:13.7,-6.142,7.226,-0.179,0.0329,-0.0179,0.0278,NONE,40
1770475753.7518632,49:13.8,-6.19,7.254,-0.285,0.0316,-0.0025,0.0188,NONE,41
1770475753.758603,49:13.8,-6.149,7.233,-0.249,0.0245,0.0016,0.0097,NONE,42
1770475753.7659698,49:13.8,-6.17,7.264,-0.311,0.0201,0.0059,0.0165,NONE,43
1770475753.772949,49:13.8,-6.168,7.261,-0.11,0.0205,-0.0015,0.0262,NONE,44
1770475753.779892,49:13.8,-6.08,7.295,-0.062,0.024,0.0023,0.0378,NONE,45
1770475753.7868106,49:13.8,-6.077,7.293,-0.189,0.0221,-0.0111,0.0262,NONE,46
1770475753.7943535,49:13.8,-6.154,7.388,-0.115,0.0179,-0.0129,0.028,NONE,47
1770475753.8010173,49:13.8,-6.106,7.314,-0.187,0.0119,-0.0226,0.0261,NONE,48
1770475753.8077822,49:13.8,-6.092,7.261,-0.12,0.0173,-0.0149,0.0292,NONE,49
1770475753.8149893,49:13.8,-6.168,7.223,-0.172,0.026,-0.0257,0.0326,NONE,50
1770475753.8219626,49:13.8,-6.158,7.273,-0.156,0.0309,-0.0155,0.0338,NONE,51
1770475753.829278,49:13.8,-6.087,7.35,-0.026,0.0205,0.0091,0.0089,NONE,52
1770475753.8357835,49:13.8,-6.072,7.254,-0.141,0.035,0.0105,-0.027,NONE,53
1770475753.8427963,49:13.8,-6.158,7.285,-0.203,0.0308,0.0233,-0.0465,NONE,54
1770475753.8499181,49:13.8,-6.158,7.278,-0.237,0.0293,0.0176,-0.0572,NONE,55
1770475753.8568256,49:13.9,-6.158,7.223,-0.167,0.0232,0.0095,-0.0354,NONE,56
1770475753.8642862,49:13.9,-6.182,7.185,-0.129,0.0248,-0.0044,-0.0049,NONE,57
1770475753.8708365,49:13.9,-6.144,7.302,-0.127,0.0334,-0.016,0.0336,NONE,58
1770475753.878099,49:13.9,-6.048,7.333,-0.136,0.0242,-0.0145,0.0342,NONE,59
1770475754,49:13.9,-6.051,7.4,-0.098,0.0242,0.0001,0.032,NONE,60
1770475753.8918622,49:13.9,-6.015,7.288,-0.304,0.0482,-0.0135,-0.0059,NONE,61
1770475753.8988001,49:13.9,6.17,7.41,-0.196,0.0289,0,-0.0176,NONE,62
1770475753.9061785,49:13.9,-6.115,7.319,-0.218,0.0192,-0.0065,-0.0077,NONE,63
1770475753.9125652,49:13.9,-6.051,7.175,-0.28,0.0001,0.0041,0.0045,NONE,64
1770475753.9198132,49:13.9,-5.989,7.355,-0.29,-0.0137,0.0337,-0.0297,NONE,65
1770475753.9282486,49:13.9,-6.211,7.214,-0.211,0.0433,-0.0095,0.0157,NONE,66
1770475753.9348247,49:13.9,-6.142,7.154,-0.213,0.0181,0.0048,0.0023,NONE,67
1770475753.9421463,49:13.9,-6.123,7.206,-0.196,0.0241,-0.0012,0.0189,NONE,68
1770475753.9489512,49:13.9,-6.187,7.214,-0.182,0.0233,-0.0059,0.0221,NONE,69
1770475753.9558604,49:14.0,-6.178,7.261,-0.189,0.022,-0.0079,0.0216,NONE,70
1770475753.9627562,49:14.0,-6.185,7.29,-0.127,0.0226,-0.0093,0.0256,NONE,71
1770475753.9702199,49:14.0,-6.161,7.216,-0.22,0.0185,-0.0108,0.0109,NONE,72
1770475753.9768202,49:14.0,-6.149,7.127,-0.11,0.0173,-0.0099,0.004,NONE,73
1770475753.9837987,49:14.0,-6.221,7.13,-0.151,0.0241,-0.0157,0.0143,NONE,74
1770475754,49:14.0,-6.192,7.139,-0.191,0.0341,-0.0213,0.0516,NONE,75
1770475753.9980185,49:14.0,-6.225,7.159,-0.196,0.0277,-0.0141,0.0718,NONE,76
1770475754.0048668,49:14.0,-6.24,7.297,-0.232,0.0185,-0.025,0.0749,NONE,77
1770475754.0118647,49:14.0,-6.216,7.209,-0.337,0.0069,-0.0233,0.0909,NONE,78
1770475754.0187845,49:14.0,-6.106,7.302,-0.134,0.0193,-0.012,0.0645,NONE,79
1770475754.0261467,49:14.0,-6.046,7.183,-0.213,0.0073,-0.012,0.0317,NONE,80
1770475754.034445,49:14.0,-6.051,7.245,-0.158,0.0071,-0.0112,0.0209,NONE,81
1770475754.040038,49:14.0,-6.053,7.293,-0.191,0.0059,-0.0296,0.0401,NONE,82
1770475754.0469499,49:14.0,-6.137,7.317,-0.223,0.0156,-0.0441,0.0718,NONE,83
1770475754.054548,49:14.1,-6.041,7.498,-0.232,0.0033,-0.0561,0.085,NONE,84
1770475754.0612063,49:14.1,-5.943,7.506,-0.141,-0.0033,-0.053,0.0659,NONE,85
1770475754.0679128,49:14.1,-5.974,7.551,-0.208,-0.0051,-0.0397,0.027,NONE,86
1770475754.074906,49:14.1,-5.986,7.458,-0.196,-0.0032,-0.0173,0.0072,NONE,87
1770475754.0821383,49:14.1,-6.013,7.424,-0.175,-0.0065,-0.0051,-0.0164,NONE,88
1770475754.0886412,49:14.1,-6.017,7.288,-0.22,0.0009,0.0019,0.0124,NONE,89
1770475754.0958836,49:14.1,-5.984,7.278,-0.261,0.0067,0.0052,0.0488,NONE,90
1770475754.1026897,49:14.1,-5.895,7.297,-0.22,0.0068,0.0033,0.0829,NONE,91
1770475754.1098146,49:14.1,-5.941,7.36,-0.074,0.0093,0.0083,0.0762,NONE,92
1770475754.1173353,49:14.1,-5.864,7.489,-0.067,0.0163,0.0109,0.0612,NONE,93
1770475754.1250832,49:14.1,-5.833,7.51,-0.048,0.0256,0.036,-0.0057,NONE,94
1770475754.1317368,49:14.1,-5.926,7.508,-0.026,0.0257,0.0537,-0.0683,NONE,95
1770475754.1387858,49:14.1,-5.986,7.446,-0.096,0.0188,0.0655,-0.1187,NONE,96
1770475754.1458654,49:14.1,-6.092,7.357,-0.086,0.0101,0.0633,-0.1266,NONE,97
1770475754.1528924,49:14.2,-6.135,7.288,-0.194,0.0045,0.0518,-0.0917,NONE,98
1770475754.1597238,49:14.2,-6.197,7.144,-0.263,0.0061,0.0473,-0.048,NONE,99
1770475754.1667237,49:14.2,-6.218,7.202,-0.187,0.0075,0.0298,-0.0169,NONE,100
1770475754.1740165,49:14.2,-6.237,7.166,-0.287,0.0103,0.0304,-0.012,NONE,101
1770475754.1807082,49:14.2,-6.194,7.044,-0.256,0.0093,0.0304,-0.0188,NONE,102
1770475754.1880376,49:14.2,-6.175,7.082,-0.22,0.0232,0.0297,-0.0107,NONE,103
1770475754.1949365,49:14.2,-6.216,7.116,-0.215,0.0276,0.0196,-0.0011,NONE,104
1770475754.2017276,49:14.2,-6.187,7.094,-0.191,0.026,0.0073,0.0097,NONE,105
1770475754.208729,49:14.2,-6.225,7.144,-0.225,0.0429,-0.0108,0.0069,NONE,106
1770475754.2159038,49:14.2,-6.218,7.173,-0.1,0.0412,-0.0165,-0.0237,NONE,107
1770475754.2229962,49:14.2,-6.214,7.178,-0.134,0.0424,-0.0288,-0.0424,NONE,108
1770475754.2300813,49:14.2,-6.285,7.046,-0.103,0.0424,-0.0292,-0.0589,NONE,109
1770475754.2370172,49:14.2,-6.348,7.07,-0.218,0.0417,-0.0494,-0.0269,NONE,110
1770475754.2438676,49:14.2,-6.417,7.082,-0.167,0.0318,-0.0625,0.0181,NONE,111
1770475754.2509623,49:14.2,-6.489,7.106,-0.179,0.0312,-0.0797,0.0638,NONE,112
1770475754.2592683,49:14.3,-6.424,7.092,-0.208,0.0337,-0.0774,0.0911,NONE,113
1770475754.2656803,49:14.3,-6.431,7.199,-0.163,0.0345,-0.0818,0.0953,NONE,114
1770475754.2726948,49:14.3,-6.369,7.194,-0.189,0.0285,-0.0604,0.0573,NONE,115
1770475754.279652,49:14.3,-6.386,7.168,-0.177,0.0272,-0.0448,0.0365,NONE,116
1770475754,49:14.3,-6.352,7.156,-0.089,0.036,-0.0424,0.0278,NONE,117
1770475754.2937632,49:14.3,-6.386,7.116,-0.172,0.0334,-0.0433,0.0493,NONE,118
1770475754.300777,49:14.3,-6.364,7.089,-0.129,0.0377,-0.0566,0.0831,NONE,119
1770475754.3078263,49:14.3,-6.343,7.214,-0.081,0.0332,-0.0738,0.1151,NONE,120
1770475754.315304,49:14.3,-6.276,7.233,-0.045,0.0308,-0.0855,0.1278,NONE,121
1770475754.3234808,49:14.3,-6.178,7.206,0.005,0.0316,-0.091,0.1066,NONE,122
1770475754.3298025,49:14.3,-6.168,7.257,-0.002,0.0334,-0.0771,0.0773,NONE,123
1770475754.3368623,49:14.3,-6.197,7.261,-0.01,0.0308,-0.085,0.0786,NONE,124
1770475754.3438087,49:14.3,-6.182,7.238,-0.091,0.0353,-0.0866,0.0866,NONE,125
1770475754.3507743,49:14.4,-6.127,7.278,-0.06,0.0203,-0.0938,0.1118,NONE,126
1770475754.3576162,49:14.4,-6.111,7.364,0.06,0.0132,-0.0919,0.1378,NONE,127
1770475754.3650594,49:14.4,-6.089,7.46,-0.024,0.024,-0.0914,0.1314,NONE,128
1770475754.3718991,49:14.4,-6.022,7.57,-0.022,0.0215,-0.0783,0.1063,NONE,129
1770475754.3788629,49:14.4,-5.998,7.458,0.041,0.0203,-0.0552,0.0581,NONE,130
1770475754.386873,49:14.4,-5.91,7.415,0.081,0.0248,0.0035,-0.0063,NONE,131
1770475754.393968,49:14.4,-6.022,7.4,-0.045,0.041,-0.0023,-0.0353,NONE,132
1770475754.3999286,49:14.4,-6.123,7.434,0.022,0.0368,0.0073,-0.0177,NONE,133
1770475754,49:14.4,-6.056,7.235,-0.019,0.0453,0.0207,0.0091,NONE,134
1770475754.4139924,49:14.4,-5.84,7.407,-0.232,-0.0079,0.0468,-0.0342,NONE,135
